"","GRID_ID","Dist2Coast","dif_dist_all","lon_first_point","lat_first_point"
"1","DI-79",0.0446403863440578,3187.8913884061,-100.013544520029,16.9222426553002
"2","DH-79",0.102742519629537,3096.41584847855,-100.016188110095,16.9237028400363
"3","DH-80",5.43217164081333e-06,3081.02608813765,-100.016188110095,16.9207824592422
"4","DI-80",4.27650954253564e-06,2880.87244830199,-100.013544520029,16.9193222510036
"5","DG-78",0.163722294230867,2772.8982709139,-100.018831700161,16.9251630134494
"6","DG-79",6.70468078193195e-06,2729.75596410167,-100.018831700161,16.9222426553002
"7","DJ-80",4.15379793645251e-06,2636.00642794522,-100.010900929963,16.9207824592422
"8","GM-119",2.53048400258168,2537.81686843224,-99.7967701382198,16.8053912494287
"9","DJ-81",3.37073324519482e-06,2347.2013404825,-100.010900929963,16.9178620323041
"10","DF-79",7.88642152915712e-06,2286.08099337594,-100.021475290226,16.9237028400363
"11","GM-120",2.25967051621565,2212.91805118795,-99.7967701382198,16.8024690401233
"12","GM-118",2.81023189657616,2212.86441077833,-99.7967701382198,16.8083134145819
"13","DF-78",0.224021186813628,2211.9500964047,-100.021475290226,16.9266231763983
"14","DK-80",2.51680821927151e-06,2031.66210518711,-100.008257339897,16.9193222510036
"15","GN-119",2.84156864446464,1949.61365933162,-99.7941265481539,16.8068523380623
"16","GL-120",2.22261981971945,1949.61117820992,-99.7994137282857,16.8039301504021
"17","GM-121",1.98865710148997,1929.26365124825,-99.7967701382198,16.7995467849527
"18","GN-120",2.57318742274795,1926.2992026748,-99.7941265481539,16.8039301504021
"19","GL-119",2.51019375607314,1926.2670098951,-99.7994137282857,16.8068523380623
"20","DE-79",7.39030579194105e-06,1909.6563959614,-100.024118880292,16.9222426553002
"21","GL-121",1.94457139716748,1780.34944483473,-99.7994137282857,16.8010079185932
"22","DE-78",6.44052509350373e-06,1740.83893400192,-100.024118880292,16.9251630134494
"23","DK-81",2.4649606547232e-06,1720.03248178889,-100.008257339897,16.9164018022852
"24","GJ-118",2.50402152356418,1719.37004767482,-99.8047009084175,16.8097744798469
"25","GN-121",2.30206351555632,1711.77173875546,-99.7941265481539,16.8010079185932
"26","GL-118",2.79599431027604,1711.72115617835,-99.7994137282857,16.8097744798469
"27","DD-78",0.0212250307371023,1710.59045686123,-100.026762470358,16.9266231763983
"28","GK-117",2.7946341790205,1704.25522753547,-99.8020573183516,16.8112355338562
"29","GJ-119",2.20635075439282,1688.40087193405,-99.8047009084175,16.8068523380623
"30","CE-65",1.81818797799867,1687.06277522252,-100.092852221107,16.9631235510648
"31","CF-64",2.37734499221502,1687.06277506956,-100.090208631041,16.9675031199946
"32","GM-122",1.72093546036133,1684.95386774048,-99.7967701382198,16.7966244856436
"33","CF-63",2.70895747632372,1676.78294382052,-100.090208631041,16.9704227752998
"34","DD-79",4.60887863160002e-06,1653.22903100178,-100.026762470358,16.9237028400363
"35","GK-119",2.20772549148084,1651.56311714859,-99.8020573183516,16.8053912494287
"36","GK-118",2.499375103677,1651.5528973413,-99.8020573183516,16.8083134145819
"37","CF-65",2.0484209496432,1650.25281526862,-100.090208631041,16.9645834184355
"38","CE-64",2.15012985991056,1650.2463975451,-100.092852221107,16.9660432744593
"39","DC-77",0.0793271600710102,1623.57985409178,-100.029406060424,16.9280833271632
"40","CE-63",2.47752042786866,1623.37438718063,-100.092852221107,16.9689629533219
"41","CE-62",2.80562618103155,1603.0014968067,-100.092852221107,16.9718825859272
"42","GL-122",1.67822185285159,1593.53147629283,-99.7994137282857,16.7980856409225
"43","DC-78",2.43180215472158e-06,1542.94988442583,-100.029406060424,16.9251630134494
"44","CD-62",2.90914799958825,1486.94928929336,-100.095495811173,16.9733423852035
"45","GJ-117",2.80709656723957,1484.19655984217,-99.8047009084175,16.8126965774689
"46","GN-122",2.0432857524949,1483.48184234707,-99.7941265481539,16.7980856409225
"47","CD-63",2.57568236421158,1482.25839618622,-100.095495811173,16.9704227752998
"48","GM-123",1.46051134751467,1476.5638609909,-99.7967701382198,16.7937021404832
"49","GK-120",1.92163895561889,1466.42194488564,-99.8020573183516,16.8024690401233
"50","CD-64",2.24346951514,1465.24543481538,-100.095495811173,16.9675031199946
"51","CG-62",2.94622578579725,1452.32790428346,-100.087565040975,16.9718825859272
"52","GL-123",1.40429147655137,1427.94045668319,-99.7994137282857,16.7951633191169
"53","DL-81",1.50858073095896e-06,1416.53033830546,-100.005613749831,16.9178620323041
"54","GI-118",2.22091839895477,1416.34420812274,-99.8073444984833,16.8083134145819
"55","CD-66",1.58046758152953,1415.23268727472,-100.095495811173,16.9616636723479
"56","BE-61",0.585136717430554,1415.0952201012,-100.161585561921,16.9748021739868
"57","CG-63",2.61988530428249,1413.72541699386,-100.087565040975,16.9689629533219
"58","GJ-120",1.91082882989901,1394.46112853822,-99.8047009084175,16.8039301504021
"59","CF-66",1.72200387114386,1393.36203641811,-100.090208631041,16.9616636723479
"60","CD-65",1.91131743996814,1393.35119427976,-100.095495811173,16.9645834184355
"61","CC-62",2.6850371331306,1326.54525867462,-100.098139401239,16.9718825859272
"62","CG-64",2.29354491880967,1325.58487972189,-100.087565040975,16.9660432744593
"63","GM-124",1.19746794594512,1299.80291866874,-99.7967701382198,16.7907797511983
"64","GV-124",2.9768955027225,1299.79166437319,-99.7729778276269,16.7922409514634
"65","DB-77",0.151181293879398,1298.85908907909,-100.03204965049,16.9295434666026
"66","GL-124",1.14483309113739,1287.24214823845,-99.7994137282857,16.7922409514634
"67","DB-78",1.8084185022982e-06,1286.53951978525,-100.03204965049,16.9266231763983
